step3_acceptance_rank,step3_resume_new_rank,step3_resume_seed_row,step3_resume_new_row,status,year,line,delta_min,section_from_station,section_departure_time_mod120,section_to_station,section_arrival_time_mod120,physical_shift_id,step3_source_physical_shift_id,marginal_reference_pax_minutes_saved,marginal_reference_weight_touched,marginal_reference_paths_touched,marginal_reference_invalidated_daily_pax,marginal_reference_mean_total_delta_min,combined_reference_increment_pax_minutes,combined_reference_pax_minutes_saved_after_acceptance,candidate_stations,matched_cells,changed_cells,marginal_example_od,step3_interrupted_resume_rank,step3_recovered_from_log,apply_status,apply_reason,combined_reference_pax_minutes_saved_before_acceptance,actions,source_candidate_ids,input_candidate_rows_merged,candidate_id,recommended_next_step,safety_flags,action,net_pax_minutes_proxy,gross_gain_pax_minutes_proxy,gross_loss_pax_minutes_proxy,existing_gain_daily_pax_proxy,existing_gain_pax_minutes,near_miss_gain_daily_pax_proxy,near_miss_gain_pax_minutes,existing_worsened_daily_pax_proxy,existing_worsened_pax_minutes,broken_existing_daily_pax_proxy,broken_existing_pax_minutes_proxy,affected_existing_transfer_events,affected_near_miss_events,unlocked_near_miss_events,partly_improved_near_miss_events,broken_existing_transfer_events,same_line_pair_count,estimated_daily_pax_proxy_sum,estimated_pax_minutes_proxy_sum,impact_rows,candidate_types,transfer_stations,affected_transfer_pairs,net_affected_transfer_stations,net_affected_transfer_pairs,example_event_pairs,reason_examples,min_can_shift_earlier_min,min_can_shift_later_min,feasibility_notes,step3_generation_method,iteration_scored,marginal_reference_invalidated_paths,marginal_reference_rolling_share_delta,step3_near_miss_score_pax_minutes,step3_selection_score,recovery_source_log,resume_seed_apply_status,resume_seed_matched_cells,resume_seed_changed_cells,resume_run_year
1,,1,0,accepted_step3_suggestion,2026,IR 15,-2,Morges,01:26,Lausanne,01:37,2026|physical|IR 15|-2|Morges|01:26|Lausanne|01:37,2026|physical|IR 15|3|Morges|01:26|Lausanne|01:37,1678.884626,1489.317809,25998,0.0,-1.127284329,1678.884626,1678.884626,Lausanne; Morges,2,2,Allaman->dest_idx_4 weight=0 total 150.000->150.000,,,accepted,,0.0,shift_arrival_line_later,2026|02185|shift_arrival_line_later|IR 15|3|Morges|01:26|Lausanne|01:37,1,2026|02185|shift_arrival_line_later|IR 15|3|Morges|01:26|Lausanne|01:37,promising_for_targeted_reroute,,shift_arrival_line_later,232.818947,339.251053,106.432105,113.083684,339.251053,0.0,0.0,35.477368,106.432105,0.0,0.0,30,0,0,0,0,0,113.08369,339.25106,20,improve_existing_transfer,Lausanne,IR 15->IC 1; IR 15->IR 90,Lausanne; Morges,IR 15->IC 1; IR 15->IR 90; R 9->IR 15,05:37->05:46; 05:37->05:48; 07:37->07:46; 07:37->07:48; 09:37->09:46; 09:37->09:48; 11:37->11:46; 11:37->11:48; 13:37->13:46; 13:37->13:48; 15:37->15:46; 15:37->15:48; 17:37->17:46; 17:37->17:48; 19:37->19:46; 19:37->19:48; 21:37->21:46; 21:37->21:48; 23:37->23:46; 23:37->23:48,Reduce current 11min transfer toward station minimum 5min.; Reduce current 9min transfer toward station minimum 5min.,2,3,,expanded_delta_from_existing_transfer_context,1,0,0.0224806,0.0,1678.884626,,accepted,2,2,2026
2,,1,0,accepted_step3_suggestion,2026,IR 15,2,Genève,00:54,Nyon,01:07,2026|physical|IR 15|2|Genève|00:54|Nyon|01:07,2026|physical|IR 15|-2|Genève|00:54|Nyon|01:07,1394.162876,1537.600816,5189,0.0,-0.906713148,1394.162876,3073.047502,Genève; Nyon,2,2,Annemasse->dest_idx_5 weight=0 total 267.000->267.000,,,accepted,,1678.884626,shift_departure_line_earlier,2026|03700|shift_departure_line_earlier|IR 15|-2|Genève|00:54|Nyon|01:07,1,2026|03700|shift_departure_line_earlier|IR 15|-2|Genève|00:54|Nyon|01:07,promising_for_targeted_reroute,,shift_departure_line_earlier,212.098737,212.098737,0.0,106.049368,212.098737,0.0,0.0,0.0,0.0,0.0,0.0,27,9,0,9,0,0,106.049367,212.098734,27,improve_existing_transfer,Genève,L 2->IR 15; L 4->IR 15; L 5->IR 15,Genève; Nyon,IR 15->RE 33; L 2->IR 15; L 4->IR 15; L 5->IR 15,06:42->06:54; 06:43->06:54; 06:44->06:54; 08:42->08:54; 08:43->08:54; 08:44->08:54; 10:42->10:54; 10:43->10:54; 10:44->10:54; 12:42->12:54; 12:43->12:54; 12:44->12:54; 14:42->14:54; 14:43->14:54; 14:44->14:54; 16:42->16:54; 16:43->16:54; 16:44->16:54; 18:42->18:54; 18:43->18:54,Reduce current 10min transfer toward station minimum 6min.; Reduce current 11min transfer toward station minimum 6min.; Reduce current 12min transfer toward station minimum 6min.,2,2,,expanded_delta_from_existing_transfer_context,2,0,0.015539142,0.0,1394.162876,,accepted,2,2,2026
3,,1,0,accepted_step3_suggestion,2026,S 10,-2,Giubiasco,01:39,Bellinzona,01:43,2026|physical|S 10|-2|Giubiasco|01:39|Bellinzona|01:43,2026|physical|S 10|-2|Giubiasco|01:39|Bellinzona|01:43,1313.688231,757.54572,3593,0.0,-1.734137223,1313.688231,4386.735733,Bellinzona; Giubiasco,2,2,Agno->dest_idx_10 weight=0 total 230.000->230.000,,,accepted,,3073.047502,shift_departure_line_earlier,2026|10425|shift_departure_line_earlier|S 10|-2|Giubiasco|01:39|Bellinzona|01:43,1,2026|10425|shift_departure_line_earlier|S 10|-2|Giubiasco|01:39|Bellinzona|01:43,promising_for_targeted_reroute,,shift_departure_line_earlier,15.793666,53.457804,37.664138,7.896842,15.793684,18.83206,37.66412,18.832069,37.664138,0.0,0.0,20,20,0,20,0,0,7.89684,15.79368,10,improve_existing_transfer,Giubiasco,S 90->S 10,Bellinzona; Giubiasco,S 10->IC 2; S 10->IC 21; S 10->S 20; S 90->S 10,05:34->05:39; 07:34->07:39; 09:34->09:39; 11:34->11:39; 13:34->13:39; 15:34->15:39; 17:34->17:39; 19:34->19:39; 21:34->21:39; 23:34->23:39,Reduce current 5min transfer toward station minimum 2min.,2,7,,expanded_delta_from_existing_transfer_context,3,0,0.069025806,9.41603,1323.104261,,accepted,2,2,2026
4,,1,0,accepted_step3_suggestion,2026,IR 66,-2,Ins,01:18,Neuchâtel,01:28,2026|physical|IR 66|-2|Ins|01:18|Neuchâtel|01:28,2026|physical|IR 66|1|Ins|01:18|Neuchâtel|01:28,1285.692233,1129.199392,27255,0.0,-1.138587429,1285.692232,5672.427965,Ins; Neuchâtel,2,2,Aadorf->dest_idx_238 weight=0 total 186.000->186.000,,,accepted,,4386.735733,shift_arrival_line_later,2026|04194|shift_arrival_line_later|IR 66|1|Ins|01:18|Neuchâtel|01:28,1,2026|04194|shift_arrival_line_later|IR 66|1|Ins|01:18|Neuchâtel|01:28,promising_for_targeted_reroute,,shift_arrival_line_later,185.545263,185.545263,0.0,185.545263,185.545263,0.0,0.0,0.0,0.0,0.0,0.0,40,10,0,10,0,0,185.54527,185.54527,40,improve_existing_transfer,Neuchâtel,IR 66->IC 5; IR 66->R 13; IR 66->R 21; IR 66->R 23,Ins; Neuchâtel,IR 66->IC 5; IR 66->R 13; IR 66->R 21; IR 66->R 23; S 5->IR 66,05:28->05:36; 05:28->05:38; 05:28->05:39; 05:28->05:41; 07:28->07:36; 07:28->07:38; 07:28->07:39; 07:28->07:41; 09:28->09:36; 09:28->09:38; 09:28->09:39; 09:28->09:41; 11:28->11:36; 11:28->11:38; 11:28->11:39; 11:28->11:41; 13:28->13:36; 13:28->13:38; 13:28->13:39; 13:28->13:41,Reduce current 10min transfer toward station minimum 4min.; Reduce current 11min transfer toward station minimum 4min.; Reduce current 13min transfer toward station minimum 4min.; Reduce current 8min transfer toward station minimum 4min.,2,1,,expanded_delta_from_existing_transfer_context,4,0,0.023224362,0.0,1285.692233,,accepted,2,2,2026
5,,1,0,accepted_step3_suggestion,2026,S 10,-2,Giubiasco,01:09,Bellinzona,01:13,2026|physical|S 10|-2|Giubiasco|01:09|Bellinzona|01:13,2026|physical|S 10|-2|Giubiasco|01:09|Bellinzona|01:13,1176.587851,673.134158,4250,0.0,-1.747924743,1176.587851,6849.015816,Bellinzona; Giubiasco,4,4,Agno->dest_idx_89 weight=1.041 total 54.000->52.000,,,accepted,,5672.427965,shift_departure_line_earlier,2026|10505|shift_departure_line_earlier|S 10|-2|Giubiasco|01:09|Bellinzona|01:13,1,2026|10505|shift_departure_line_earlier|S 10|-2|Giubiasco|01:09|Bellinzona|01:13,promising_for_targeted_reroute,,shift_departure_line_earlier,15.793666,53.457804,37.664138,7.896842,15.793684,18.83206,37.66412,18.832069,37.664138,0.0,0.0,20,20,0,20,0,0,7.107156,14.214312,9,improve_existing_transfer,Giubiasco,S 90->S 10,Bellinzona; Giubiasco,S 10->IC 2; S 10->S 20; S 90->S 10,07:04->07:09; 09:04->09:09; 11:04->11:09; 13:04->13:09; 15:04->15:09; 17:04->17:09; 19:04->19:09; 21:04->21:09; 23:04->23:09,Reduce current 5min transfer toward station minimum 2min.,2,7,,expanded_delta_from_existing_transfer_context,5,0,0.070489455,9.41603,1186.003881,,accepted,4,4,2026
6,,1,0,accepted_step3_suggestion,2026,L 4,1,Genève,01:16,Lancy-Pont-Rouge,01:21,2026|physical|L 4|1|Genève|01:16|Lancy-Pont-Rouge|01:21,2026|physical|L 4|-2|Genève|01:16|Lancy-Pont-Rouge|01:21,1039.970446,1751.97167,1254,0.0,-0.593600036,1039.970446,7888.986262,Genève; Lancy-Pont-Rouge,2,2,Aareschlucht West->dest_idx_40 weight=0 total 272.000->272.000,,,accepted,,6849.015816,shift_departure_line_earlier,2026|02364|shift_departure_line_earlier|L 4|-2|Genève|01:16|Lancy-Pont-Rouge|01:21,1,2026|02364|shift_departure_line_earlier|L 4|-2|Genève|01:16|Lancy-Pont-Rouge|01:21,promising_for_targeted_reroute,,shift_departure_line_earlier,317.681053,317.681053,0.0,158.840526,317.681053,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0,0,0,0,158.84053,317.68105,20,improve_existing_transfer,Genève,IR 15->L 4; IR 90->L 4,Genève,IR 15->L 4; IR 90->L 4,05:02->05:16; 05:05->05:16; 07:02->07:16; 07:05->07:16; 09:02->09:16; 09:05->09:16; 11:02->11:16; 11:05->11:16; 13:02->13:16; 13:05->13:16; 15:02->15:16; 15:05->15:16; 17:02->17:16; 17:05->17:16; 19:02->19:16; 19:05->19:16; 21:02->21:16; 21:05->21:16; 23:02->23:16; 23:05->23:16,Reduce current 11min transfer toward station minimum 6min.; Reduce current 14min transfer toward station minimum 6min.,2,1,,expanded_delta_from_existing_transfer_context,6,0,0.023728742,0.0,1039.970446,,accepted,2,2,2026
7,,1,0,accepted_step3_suggestion,2026,L 4,-1,Lancy-Pont-Rouge,01:52,Genève,01:58,2026|physical|L 4|-1|Lancy-Pont-Rouge|01:52|Genève|01:58,2026|physical|L 4|1|Lancy-Pont-Rouge|01:52|Genève|01:58,969.729605,1760.735221,6660,0.0,-0.550752659,969.729605,8858.715867,Genève; Lancy-Pont-Rouge,2,2,Annemasse->dest_idx_1 weight=0.013 total 174.000->174.000,,,accepted,,7888.986262,shift_arrival_line_later,2026|04426|shift_arrival_line_later|L 4|1|Lancy-Pont-Rouge|01:52|Genève|01:58,1,2026|04426|shift_arrival_line_later|L 4|1|Lancy-Pont-Rouge|01:52|Genève|01:58,promising_for_targeted_reroute,,shift_arrival_line_later,261.0415,261.0415,0.0,261.0415,261.0415,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,0,0,0,175.451004,175.451004,9,improve_existing_transfer,Genève,L 4->IR 90,Genève,L 4->IR 15; L 4->IR 90,05:58->06:05; 07:58->08:05; 09:58->10:05; 11:58->12:05; 13:58->14:05; 15:58->16:05; 17:58->18:05; 19:58->20:05; 21:58->22:05,Reduce current 7min transfer toward station minimum 6min.,1,2,,expanded_delta_from_existing_transfer_context,7,0,0.02185425,0.0,969.729605,,accepted,2,2,2026
8,,1,0,accepted_step3_suggestion,2026,L 2,1,Genève,01:46,Lancy-Pont-Rouge,01:51,2026|physical|L 2|1|Genève|01:46|Lancy-Pont-Rouge|01:51,2026|physical|L 2|-2|Genève|01:46|Lancy-Pont-Rouge|01:51,963.401071,1713.606201,810,0.0,-0.562206807,963.401071,9822.116938,Genève; Lancy-Pont-Rouge,2,2,Aigle->dest_idx_40 weight=0.394 total 118.000->118.000,,,accepted,,8858.715867,shift_departure_line_earlier,2026|02004|shift_departure_line_earlier|L 2|-2|Genève|01:46|Lancy-Pont-Rouge|01:51,1,2026|02004|shift_departure_line_earlier|L 2|-2|Genève|01:46|Lancy-Pont-Rouge|01:51,promising_for_targeted_reroute,,shift_departure_line_earlier,359.215789,359.215789,0.0,179.607895,359.215789,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0,0,0,0,179.6079,359.21579,20,improve_existing_transfer,Genève,IC 1->L 2; IR 95->L 2,Genève,IC 1->L 2; IR 95->L 2,05:32->05:46; 05:35->05:46; 07:32->07:46; 07:35->07:46; 09:32->09:46; 09:35->09:46; 11:32->11:46; 11:35->11:46; 13:32->13:46; 13:35->13:46; 15:32->15:46; 15:35->15:46; 17:32->17:46; 17:35->17:46; 19:32->19:46; 19:35->19:46; 21:32->21:46; 21:35->21:46; 23:32->23:46; 23:35->23:46,Reduce current 11min transfer toward station minimum 6min.; Reduce current 14min transfer toward station minimum 6min.,2,1,,expanded_delta_from_existing_transfer_context,8,0,0.022932665,0.0,963.401071,,accepted,2,2,2026
9,,1,0,accepted_step3_suggestion,2026,RE 33,2,Genève,01:23,Lancy-Pont-Rouge,01:28,2026|physical|RE 33|2|Genève|01:23|Lancy-Pont-Rouge|01:28,2026|physical|RE 33|-2|Genève|01:23|Lancy-Pont-Rouge|01:28,866.45822,1087.950839,648,0.0,-0.796413026,866.45822,10688.575158,Genève; Lancy-Pont-Rouge,2,2,Aigle->dest_idx_40 weight=0.562 total 111.000->111.000,,,accepted,,9822.116938,shift_departure_line_earlier,2026|06618|shift_departure_line_earlier|RE 33|-2|Genève|01:23|Lancy-Pont-Rouge|01:28,1,2026|06618|shift_departure_line_earlier|RE 33|-2|Genève|01:23|Lancy-Pont-Rouge|01:28,promising_for_targeted_reroute,,shift_departure_line_earlier,100.580526,100.580526,0.0,50.290263,100.580526,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,0,0,50.29026,100.58053,10,improve_existing_transfer,Genève,L 5->RE 33,Genève,L 5->RE 33,05:12->05:23; 07:12->07:23; 09:12->09:23; 11:12->11:23; 13:12->13:23; 15:12->15:23; 17:12->17:23; 19:12->19:23; 21:12->21:23; 23:12->23:23,Reduce current 11min transfer toward station minimum 6min.,2,2,,expanded_delta_from_existing_transfer_context,9,0,0.043360728,0.0,866.45822,,accepted,2,2,2026
10,,1,0,accepted_step3_suggestion,2026,IR 70,-2,Zürich Flughafen,01:23,Winterthur,01:36,2026|physical|IR 70|-2|Zürich Flughafen|01:23|Winterthur|01:36,2026|physical|IR 70|1|Zürich Flughafen|01:23|Winterthur|01:36,862.303681,1805.719205,8876,0.0,-0.477540295,862.303681,11550.878839,Winterthur; Zürich Flughafen,2,2,Aarburg-Oftringen->dest_idx_83 weight=0.001 total 128.000->128.000,,,accepted,,10688.575158,shift_arrival_line_later,2026|05033|shift_arrival_line_later|IR 70|1|Zürich Flughafen|01:23|Winterthur|01:36,1,2026|05033|shift_arrival_line_later|IR 70|1|Zürich Flughafen|01:23|Winterthur|01:36,promising_for_targeted_reroute,,shift_arrival_line_later,188.205263,188.205263,0.0,188.205263,188.205263,0.0,0.0,0.0,0.0,0.0,0.0,40,20,0,20,0,0,151.93578,151.93578,30,improve_existing_transfer,Winterthur,IR 70->J / S 12; IR 70->S 29; IR 70->S 35,Winterthur; Zürich Flughafen,B / S 2->IR 70; D / S 24->IR 70; IR 70->J / S 12; IR 70->S 29; IR 70->S 35; IR 70->X / S 26,05:36->05:42; 07:36->07:42; 09:36->09:42; 11:36->11:42; 13:36->13:42; 15:36->15:42; 17:36->17:42; 19:36->19:42; 21:36->21:42; 23:36->23:42,Reduce current 6min transfer toward station minimum 5min.,2,2,,expanded_delta_from_existing_transfer_context,10,0,0.01169061,0.0,862.303681,,accepted,2,2,2026
11,,1,0,accepted_step3_suggestion,2026,IC 51,-2,Grenchen Nord,01:31,Biel/Bienne,01:41,2026|physical|IC 51|-2|Grenchen Nord|01:31|Biel/Bienne|01:41,2026|physical|IC 51|1|Grenchen Nord|01:31|Biel/Bienne|01:41,847.56898,897.383216,15257,0.0,-0.944489449,847.56898,12398.447819,Biel/Bienne; Grenchen Nord,2,2,Aesch BL->dest_idx_16 weight=0.001 total 191.000->191.000,,,accepted,,11550.878839,shift_arrival_line_later,2026|08715|shift_arrival_line_later|IC 51|1|Grenchen Nord|01:31|Biel/Bienne|01:41,1,2026|08715|shift_arrival_line_later|IC 51|1|Grenchen Nord|01:31|Biel/Bienne|01:41,promising_for_targeted_reroute,,shift_arrival_line_later,225.138421,225.138421,0.0,225.138421,225.138421,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,49.10526,49.10526,10,improve_existing_transfer,Biel/Bienne,IC 51->RE 4,Biel/Bienne,IC 51->IR 65; IC 51->R 13; IC 51->RE 4; IC 51->S 20; IC 51->S 3; IC 51->S 37,05:41->05:47; 07:41->07:47; 09:41->09:47; 11:41->11:47; 13:41->13:47; 15:41->15:47; 17:41->17:47; 19:41->19:47; 21:41->21:47; 23:41->23:47,Reduce current 6min transfer toward station minimum 5min.,2,7,,expanded_delta_from_existing_transfer_context,11,0,0.017833541,0.0,847.56898,,accepted,2,2,2026
,,1,0,accepted_step3_recovered_from_interrupted_resume_log,2026,IR 95,-1,Vevey,01:30,Lausanne,01:46,2026|physical|IR 95|-1|Vevey|01:30|Lausanne|01:46,2026|physical|IR 95|-1|Vevey|01:30|Lausanne|01:46,754.080348,1942.492609,11118,0.0,-0.388202428,,754.08,Lausanne; Vevey,,,Acla da Fontauna->dest_idx_725 weight=0 total 328.000->327.000,1,1,,,,shift_departure_line_earlier,2026|04811|shift_departure_line_earlier|IR 95|-1|Vevey|01:30|Lausanne|01:46,1,2026|04811|shift_departure_line_earlier|IR 95|-1|Vevey|01:30|Lausanne|01:46,promising_for_targeted_reroute,,shift_departure_line_earlier,224.631829,359.299198,134.667368,160.233158,160.233158,199.06604,199.06604,134.667368,134.667368,0.0,0.0,30,30,0,30,0,0,160.23315,160.23315,20,improve_existing_transfer,Vevey,R 35->IR 95; R 7->IR 95,Lausanne; Vevey,IR 95->IC 1; IR 95->IR 90; IR 95->R 3; IR 95->S 30; R 35->IR 95; R 7->IR 95,05:25->05:30; 05:26->05:30; 07:25->07:30; 07:26->07:30; 09:25->09:30; 09:26->09:30; 11:25->11:30; 11:26->11:30; 13:25->13:30; 13:26->13:30; 15:25->15:30; 15:26->15:30; 17:25->17:30; 17:26->17:30; 19:25->19:30; 19:26->19:30; 21:25->21:30; 21:26->21:30; 23:25->23:30; 23:26->23:30,Reduce current 4min transfer toward station minimum 2min.; Reduce current 5min transfer toward station minimum 2min.,1,6,,expanded_delta_from_existing_transfer_context,11,0,0.006853356,49.76651,803.846858,"<USER_HOME>/iCloud Drive (Archive)/Documents/Documents - Matthias’s 16"" MacBook Pro (246)/Paper Pythons/Master Thesis/2nd Half of Project (Comparison 2026 and 2035)/transfer_optimization_tables/STEP3_SEARCH_RESUME_5H/year_2026/Step3_timetable_suggestion_search.log",accepted,2,2,2026
,,1,0,accepted_step3_recovered_from_interrupted_resume_log,2026,S 10,2,Bellinzona,01:16,Giubiasco,01:20,2026|physical|S 10|2|Bellinzona|01:16|Giubiasco|01:20,2026|physical|S 10|2|Bellinzona|01:16|Giubiasco|01:20,751.169024,523.281679,3497,0.0,-1.43549651,,1505.249,Bellinzona; Giubiasco,,,Aadorf->dest_idx_470 weight=0.001 total 169.000->171.000,2,1,,,,shift_arrival_line_later,2026|03452|shift_arrival_line_later|S 10|2|Bellinzona|01:16|Giubiasco|01:20,1,2026|03452|shift_arrival_line_later|S 10|2|Bellinzona|01:16|Giubiasco|01:20,promising_for_targeted_reroute,,shift_arrival_line_later,181.493192,296.733894,115.240702,113.794737,227.589474,34.57221,69.14442,57.620351,115.240702,0.0,0.0,20,20,0,20,0,0,113.79474,227.58947,10,improve_existing_transfer,Giubiasco,S 10->S 90,Bellinzona; Giubiasco,IC 2->S 10; S 10->S 90; S 20->S 10,05:20->05:24; 07:20->07:24; 09:20->09:24; 11:20->11:24; 13:20->13:24; 15:20->15:24; 17:20->17:24; 19:20->19:24; 21:20->21:24; 23:20->23:24,Reduce current 4min transfer toward station minimum 2min.,7,3,,expanded_delta_from_existing_transfer_context,11,0,0.046970961,17.286105,768.455129,"<USER_HOME>/iCloud Drive (Archive)/Documents/Documents - Matthias’s 16"" MacBook Pro (246)/Paper Pythons/Master Thesis/2nd Half of Project (Comparison 2026 and 2035)/transfer_optimization_tables/STEP3_SEARCH_RESUME_5H/year_2026/Step3_timetable_suggestion_search.log",accepted,2,2,2026
